timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772684022273,116,resources-1,301,Moved Permanently,Thread Group 1-9,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,116,0,0
1772684022391,7595,resources-2,200,OK,Thread Group 1-9,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,887,0,0
1772684019888,11983,training,200,OK,Thread Group 1-3,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,491,0,0
1772684019888,491,training-0,301,Moved Permanently,Thread Group 1-3,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,491,0,0
1772684020379,124,training-1,301,Moved Permanently,Thread Group 1-3,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,124,0,0
1772684020503,11368,training-2,200,OK,Thread Group 1-3,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,209,0,0
1772684023170,10248,simpli,200,OK,Thread Group 1-1,text,true,,532187,242,10,10,https://www.simplilearn.com/,117,0,0
1772684023170,117,simpli-0,301,Moved Permanently,Thread Group 1-1,text,true,,569,121,10,10,http://www.simplilearn.com/,117,0,0
1772684023287,10131,simpli-1,200,OK,Thread Group 1-1,text,true,,531618,121,10,10,https://www.simplilearn.com/,281,0,0
1772684028100,6048,resources,200,OK,Thread Group 1-10,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,107,0,0
1772684028100,107,resources-0,301,Moved Permanently,Thread Group 1-10,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,107,0,0
1772684028207,422,resources-1,301,Moved Permanently,Thread Group 1-10,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,422,0,0
1772684028629,5519,resources-2,200,OK,Thread Group 1-10,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,357,0,0
1772684025368,9917,simpli,200,OK,Thread Group 1-5,text,true,,532187,242,10,10,https://www.simplilearn.com/,2271,0,1135
1772684025368,2271,simpli-0,301,Moved Permanently,Thread Group 1-5,text,true,,569,121,10,10,http://www.simplilearn.com/,2271,0,1135
1772684027639,7646,simpli-1,200,OK,Thread Group 1-5,text,true,,531618,121,10,10,https://www.simplilearn.com/,706,0,277
1772684027104,8709,training,200,OK,Thread Group 1-8,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,145,0,0
1772684027104,145,training-0,301,Moved Permanently,Thread Group 1-8,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,145,0,0
1772684027249,132,training-1,301,Moved Permanently,Thread Group 1-8,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,132,0,0
1772684027381,8432,training-2,200,OK,Thread Group 1-8,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,361,0,0
1772684023843,13158,training,200,OK,Thread Group 1-2,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,138,0,0
1772684023843,138,training-0,301,Moved Permanently,Thread Group 1-2,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,138,0,0
1772684023981,129,training-1,301,Moved Permanently,Thread Group 1-2,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,129,0,0
1772684024110,12891,training-2,200,OK,Thread Group 1-2,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,1844,0,0
1772684027803,9908,simpli,200,OK,Thread Group 1-6,text,true,,532187,242,10,10,https://www.simplilearn.com/,132,0,0
1772684027803,132,simpli-0,301,Moved Permanently,Thread Group 1-6,text,true,,569,121,10,10,http://www.simplilearn.com/,132,0,0
1772684027935,9776,simpli-1,200,OK,Thread Group 1-6,text,true,,531618,121,10,10,https://www.simplilearn.com/,580,0,0
1772684028967,9628,resources,200,OK,Thread Group 1-4,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,128,0,0
1772684028967,128,resources-0,301,Moved Permanently,Thread Group 1-4,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,128,0,0
1772684029095,130,resources-1,301,Moved Permanently,Thread Group 1-4,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,130,0,0
1772684029225,9370,resources-2,200,OK,Thread Group 1-4,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,1049,0,0
1772684031872,6933,simpli,200,OK,Thread Group 1-3,text,true,,532187,242,10,10,https://www.simplilearn.com/,140,0,0
1772684031872,140,simpli-0,301,Moved Permanently,Thread Group 1-3,text,true,,569,121,10,10,http://www.simplilearn.com/,140,0,0
1772684032012,6793,simpli-1,200,OK,Thread Group 1-3,text,true,,531618,121,10,10,https://www.simplilearn.com/,232,0,0
1772684028444,11162,simpli,200,OK,Thread Group 1-7,text,true,,532187,242,10,10,https://www.simplilearn.com/,140,0,0
1772684028444,140,simpli-0,301,Moved Permanently,Thread Group 1-7,text,true,,569,121,10,10,http://www.simplilearn.com/,140,0,0
1772684028584,11022,simpli-1,200,OK,Thread Group 1-7,text,true,,531618,121,10,10,https://www.simplilearn.com/,433,0,0
1772684033417,6634,resources,200,OK,Thread Group 1-1,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,134,0,0
1772684033417,134,resources-0,301,Moved Permanently,Thread Group 1-1,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,134,0,0
1772684033552,123,resources-1,301,Moved Permanently,Thread Group 1-1,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,123,0,0
1772684033675,6376,resources-2,200,OK,Thread Group 1-1,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,335,0,0
1772684035285,5087,resources,200,OK,Thread Group 1-5,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,143,0,0
1772684035285,143,resources-0,301,Moved Permanently,Thread Group 1-5,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,143,0,0
1772684035428,126,resources-1,301,Moved Permanently,Thread Group 1-5,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,126,0,0
1772684035554,4818,resources-2,200,OK,Thread Group 1-5,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,373,0,0
